timestamp,x,y,z
,-8.166995,24.898209,40.641932
,-14.752278,20.495258,56.02833
,-19.703205,20.839836,48.162842
,-33.273388,17.697948,49.909664
,-50.806225,4.2019467,62.6184
,-43.622715,7.889418,60.546143
,-20.588581,38.86083,33.886753
3002445,-7.9875274,10.0430355,51.00083
,-4.2067323,15.206931,32.053784
,3.6515777,-2.5053747,29.033935
,8.372786,-11.962148,27.607761
,6.3292418,-16.63789,23.6283555
,9.109801,-15.611332,20.2639267
,13.082028,-16.673784,20.8621538
,12.897775,-15.695085,18.5266753
3002483,11.435708,-11.428529,13.7504308
,6.221561,-3.070101,5.06896
,0.33500713,5.329006,5.31543
,-4.400558,10.739371,7.356581
,-8.097601,16.664211,7.492976
,-9.289269,21.98604,6.164912
,-11.639105,23.125063,4.31998
,-12.718307,19.562023,4.008902
3002521,-12.32587,14.065514,4.465947
,-10.559903,7.2576904,7.909342
,-8.233996,2.6154485,9.7207737
,-6.535032,0.75855184,10.4530034
,-4.4101295,-0.7944455,10.560684
,-2.8738825,-1.6511066,8.943078
,-1.9837208,-2.5293038,11.7499595
,-2.057901,-3.1945324,14.3390863
3002560,1.2849916,1.9119335,32.381613
,-6.1617384,7.609448,35.509144
,-2.108152,25.374397,69.440582
,44.603806,6.7575727,35.57136
,57.489616,5.592226,-12.995104
,28.77472,14.769029,-2.614668
,11.995648,2.4288018,7.887806
,-0.7681235,2.0626867,7.0072155
3002598,-16.759928,12.928883,24.6070547
,-36.6091,37.386795,30.424214
,-78.40124,56.63774,-21.37507
,-78.40124,56.977535,-17.82399
,-42.888092,10.631691,5.872977
,-37.458584,-0.99305683,-1.387106
,-29.475842,4.0775156,-11.078384
,-10.3924,12.297154,-0.738628
3002636,-3.5917552,15.4749365,-7.711561
,-1.2969562,15.618511,-15.447834
,4.742744,15.7261915,15.695865
,1.1940612,7.2720475,62.357574
,-2.8188457,9.217482,59.931164
,12.443122,18.241138,38.789822
,77.72166,7.4323726,44.616552
,78.32227,-1.6367491,61.46741
3002675,61.02394,6.506317,60.28771
,32.60098,51.804066,37.100428
,16.520638,15.386399,40.137028
,2.471874,-4.5943837,49.201363
,-3.649185,-6.6666417,40.412212
,-3.7329366,-0.8925547,22.0657864
,-6.6857853,-6.458459,16.2869134
,-10.150716,-16.606783,16.0045502
3002713,-13.397892,-15.037034,15.9806211
,-14.907818,-9.964069,6.301308
,-13.567789,-6.86286,-1.154993
,-8.468502,-7.3462276,0.359716
,-0.90691215,0.59583414,4.702846
,3.5510757,14.955675,5.045032
,6.357957,18.277033,8.533891
,8.480466,17.16433,10.730581
3002751,8.98537,15.6759405,11.340772
,9.243804,13.69222,13.5566053
,7.1739383,11.134201,12.9583783
,3.5558615,8.260319,12.4510818
,0,4.213911,12.1663256
,-3.6539707,2.1727605,11.769103
,-4.1971607,2.5843408,13.176133
,-3.4816813,2.4359803,15.4613601
3002790,0.33022133,10.31822,36.676884
,2.3330853,21.27056,55.083134
,-2.3211207,38.93501,86.59055
,-27.331797,34.374126,53.73832
,-56.647312,12.991098,-4.548138
,-32.620125,2.237369,-18.919945
,-8.5043955,-2.2708697,-2.875494
,12.897775,-5.2883267,3.862934
3002829,15.795587,0.43072346,5.99023
,20.270325,9.88271,3.927543
,24.601488,27.96831,7.222577
,32.069756,35.582542,4.6334505
,39.143192,15.8266945,-0.647697
,41.739494,6.8652534,-5.081757
,43.464783,10.710656,-5.467014
,35.9678,23.488787,-8.616081
3002867,26.489492,20.614902,-13.5024
,11.301705,11.002591,-9.479921
,-0.90691215,10.495295,-1.475643
,-11.220346,21.363884,17.7657306
,-14.510594,27.003967,36.612274
,-16.939396,26.738356,50.352352
,-16.159307,25.479685,55.635895
,-19.36102,22.902523,41.721134
3002906,-33.36671,-0.50968945,61.847885
,-52.64398,-7.004042,66.408768
,-39.698345,8.683864,39.390442
,-24.185122,18.501965,36.870708
,-14.970033,27.38444,27.811159
,0.5288327,-33.936222,54.099648
,6.219168,2.6513422,20.15146
,7.7937016,6.1043086,15.3560722
3002944,8.691042,-11.445279,28.311276
,10.602976,-13.785543,24.291191
,11.804215,-15.786015,16.94496311
,11.222739,-14.620668,15.6121134
,7.4586945,-9.370628,15.5235757
,3.493646,-1.1916683,13.020594
,0.442688,4.182803,11.197198
,-2.6441634,6.3723145,11.3742733
3002982,-5.1950035,9.652991,10.41711
,-7.398872,11.23231,9.5436983
,-8.944691,10.794409,8.464497
,-9.913818,8.784366,8.229992
,-10.0837145,7.599876,8.813862
,-8.801116,5.0586076,10.409931
,-6.1043086,2.4264088,13.4249954
,-2.940884,0.8351249,14.0375798
3003021,-1.2993491,-0.3828653,14.609485
,-0.22014755,-1.5817122,13.4896038
,0.54079723,-2.5867336,10.802368
,2.3043704,-3.5486827,11.790639
,0.86623275,-3.0796728,20.022243
,6.556568,0.6867646,31.462736
,1.9645776,15.829087,34.571125
,5.666406,41.03359,70.86915
3003059,76.642456,0.36611494,-5.574696
,78.32227,19.664919,-18.65433
,15.797979,27.896523,-13.380362
,-7.5328746,11.978898,-5.270796
,-17.14758,9.911426,23.046879
,-34.323875,42.151077,20.2902486
,-78.40124,75.09185,-20.14272
,-78.40124,56.798065,-28.33125
3003097,-43.390602,5.726229,-12.95203
,-30.411469,-9.231839,4.922993
,-12.761379,0.95955616,-9.168842
,-4.407737,11.060021,-9.307632
,-3.0844586,19.753456,-6.96976
,1.586498,31.076698,-2.250946
,5.43908,30.51197,24.181117
,-1.3687434,17.348583,54.391582
3003136,-2.060294,8.406286,65.710037
,17.1739,13.902796,56.995068
,66.78846,10.880553,52.721333
,78.32227,-9.126552,60.579643
,53.268528,-0.27039862,46.68881
,25.312181,10.193789,41.658918
,12.713521,29.114513,27.985841
,-0.6939433,-15.812337,44.45144
3003174,-8.418251,-9.01887,41.862314
,-10.964305,-1.4381378,24.6908064
,-14.211481,-5.963127,28.485959
,-18.166958,-11.61039,27.447436
,-21.294489,-15.616118,12.113682
,-21.909466,-16.171272,3.977794
,-16.293312,-11.966933,-3.722584
,-8.789151,-9.382592,-0.980312
3003212,-2.3450499,-4.6230984,1.72846
,3.6061125,14.4077,1.948608
,5.771694,18.13585,4.664558
,6.2670264,12.7542,10.723402
,6.190453,10.512045,12.5635486
,6.3053126,12.66327,12.9200916
,5.9009113,12.641733,12.774124
,4.7451367,9.487881,12.4893684
3003251,2.3594074,6.089951,12.1112885
,1.3519931,5.491724,10.8167253
,1.8090385,5.75973,10.785618
,2.7781663,3.6898644,11.3647013
,6.1282377,2.9576344,17.10050214
,7.3294773,1.4955676,27.631691
,8.128709,6.9083257,47.102783
,11.753964,15.898481,59.407116
3003290,5.7142644,41.73471,55.396603
,-33.058025,33.3715,36.760635
,-60.164886,20.79437,-12.20305
,-28.028133,9.559668,-22.995068
,7.9516335,-7.659699,-2.786957
,13.826223,-7.0519004,5.782047
,17.269617,10.24404,7.114897
,27.01354,27.439478,7.674837
3003328,44.469803,30.720154,2.470263
,57.314934,16.848465,-3.033426
,56.647312,10.3924,-4.416527
,41.095802,9.897068,-10.544765
,29.94246,12.464658,-22.90653
,18.825008,12.967169,-19.434418
,5.001178,10.794409,-13.217644
,-6.214382,16.207167,6.239092
3003367,-11.416565,28.250673,51.802456
,-9.710421,28.62636,54.81513
,-19.253338,28.90633,58.03598
,-12.995884,32.335365,59.60812
,-30.736904,16.836502,42.19493
,-78.40124,-29.337053,60.33796
,-59.77963,-6.798252,56.597843
,-32.112827,12.785308,29.706342
3003405,-22.143972,28.212387,20.75208
,-10.502474,-3.175389,33.738392
,-3.072494,-7.054293,25.703007
,-1.14381,-3.9506912,19.9791706
,8.793938,-11.351956,23.7264647
,14.024835,-19.669704,27.660405
,19.365805,-21.954931,22.673585
,18.494787,-17.836737,14.8009174
3003443,14.716385,-14.271304,13.011022
,7.7769513,0.028714897,10.7066517
,2.184725,7.817631,10.3333583
,-2.2780485,11.51946,11.814568
,-4.5656686,14.6398115,11.201984
,-6.24549,15.257182,10.6205072
,-6.6163907,13.620433,10.283107
,-8.336892,12.026756,11.015337
3003482,-8.272284,10.780051,10.536755
,-7.839167,9.583597,10.7449384
,-5.697514,6.8843966,12.448689
,-3.1394954,5.1184306,13.3747442
,-0.84708947,3.491253,14.6166635
,0.6676214,1.4883888,14.5711982
,0.6867646,-0.78008807,13.5518193
,-0.55754757,-3.5295393,12.151968
3003520,-3.2998202,-5.89134,16.4065588
,-3.1036017,-8.552254,13.6595004
,0.87819725,-4.3670573,29.32587
,3.0772798,6.326849,30.199281
,-16.534994,42.78998,49.490906
,24.16598,30.342075,95.40124
,78.32227,7.1476164,-11.973331
,44.761738,26.68332,-41.38935
3003558,-16.515852,7.860703,-29.321915
,-7.815238,-8.391929,10.2519994
,-21.737177,8.662328,38.428492
,-55.07996,64.871735,9.1680117
,-78.40124,78.348595,-19.396133
,-71.48813,38.511463,-38.694935
,-40.504757,-10.066964,10.7760463
,-27.563908,-13.376356,14.5951273
3003597,-10.65562,3.776009,-7.022404
,-6.1306305,12.950418,-4.864
,-6.1737027,17.580696,-4.505066
,-4.8217096,21.227488,-8.936731
,0.8877689,30.8733,1.254664
,4.898283,27.262402,19.392908
,0.9954498,20.430649,43.417706
,-0.9499845,13.098779,57.99291
3003635,8.509181,11.895146,52.38154
,68.319916,7.185903,53.08027
,78.32227,-12.239725,50.962543
,64.73295,-4.50106,41.771385
,24.11812,3.9195836,38.227488
,10.753729,8.166995,44.595016
,-2.4862316,32.524406,16.6769574
,-10.18661,-7.255297,35.992512
3003673,-11.34717,-26.604353,46.818027
,-14.910211,-0.5168682,17.11485959
,-20.1435,14.797744,5.999802
,-18.413427,1.8162172,22.8482676
,-17.903738,-18.076027,19.163189
,-14.359841,-15.149501,4.793776
,-9.344306,-11.268204,4.224264
,-5.049036,-6.274205,3.8988285
3003711,-0.27279153,0.42354473,4.688488
,3.5726118,5.283541,7.985915
,5.963127,7.496981,11.221127
,6.767144,8.59054,12.2500772
,7.757808,10.150716,15.0019218
,7.5687685,11.299312,16.36827224
,7.4084435,11.61039,17.60540575
,5.498903,8.918368,18.3256711
3003750,2.9193478,5.4749737,17.15793194
,0.3565433,4.455595,16.1122311
,-2.079437,3.4481807,14.396516
,-1.4931747,3.6132913,12.386473
,-2.6896286,3.2471762,20.5989337
,1.3998512,6.3603497,26.746315
,1.3113136,11.954968,53.60671
,-2.342657,29.217407,68.878246
3003789,-8.509181,63.28524,83.5372
,-69.00908,35.793118,11.6303144
,-68.877464,20.677118,-33.0716
,-9.363449,-4.76428,-27.070187
,19.49263,-2.5915194,3.929936
,14.211481,6.5206747,10.835869
,27.47537,22.072184,8.572178
,46.362595,30.497614,4.944529
3003827,57.109146,21.100664,-3.930767
,56.07062,15.37922,-4.40217
,37.11161,4.50106,-4.44285
,23.239923,3.5869691,-1.265068
,15.364862,6.84611,2.420011
,11.323241,8.808294,6.8564625
,7.865489,11.110272,-0.236116
,2.6202343,16.025305,-10.070969
3003866,-4.2569833,20.77762,-5.182259
,-7.0279713,23.857294,7.82559
,-7.518517,32.392796,30.208853
,-11.859253,31.296844,45.530643
,-17.57591,25.336111,43.398561
,-25.82905,17.240902,47.042961
,-25.436613,16.86043,45.403818
,-36.030018,9.925783,45.70054
3003904,-51.80646,-4.663778,62.951015
,-28.02574,0.16989647,34.587875
,-18.229174,1.277813,27.263183
,-13.0102415,1.8305746,16.77745955
,-4.692493,0.64369226,25.0617075
,-0.5551547,0.3804724,25.461323
,3.3500714,-6.558961,26.772636
,8.267497,-14.33352,26.4137
3003942,16.075556,-23.227959,25.088029
,19.32034,-23.857294,17.598227
,18.27464,-20.356468,11.242663
,14.934139,-12.62259,9.160833
,9.806137,-4.16366,6.674602
,2.9719918,3.5486827,5.8705845
,-3.2615337,9.932961,6.751175
,-6.535032,13.98894,8.301779
3003981,-9.574025,15.9271965,11.532205
,-10.868588,16.525423,10.5056477
,-10.82073,16.18563,11.458025
,-9.949712,14.505809,13.3149216
,-7.961205,11.916682,14.319943
,-5.0968943,9.509417,16.140946
,-1.3783151,6.8150024,17.83751786
,2.6106627,4.4651666,18.3854938
